case_id,candidate_id,kind,target_family,safe,actual_change_hartree,magnitude,magnitude_position,diagonal_hessian,single_coordinate_obs,general_constraint_obs,exact_hessian_oracle,projection_on_success,projection_on_iterations,projection_on_nfev,projection_on_njev,projection_on_wall_seconds,projection_off_success,projection_off_iterations,projection_off_nfev,projection_off_njev,projection_off_wall_seconds,delta_cnot_count,delta_cnot_depth,delta_total_depth,delta_parameters,delta_blocks,paper_measurement_cost
h4-1.5-iteration-12-or-convergence,candidate-v1:db5fb02bce1654d5c349d836130ae251308b94fc86608d3a556571a637d73200,block-deletion,empty,True,-6.661338147750939e-16,0.13068867052721492,0.13068867052721492,0.08758422285161205,0.020265194016204812,0.020265194016204812,,True,138,151,151,7.130731791985454,True,143,154,154,7.237229999998817,-9,0,-13,-1,-1,
h4-1.5-iteration-12-or-convergence,candidate-v1:5d7805f7dfc77e353809c27d3c11919946756631254aa0f75804ad48ae336551,block-deletion,empty,True,-4.440892098500626e-16,0.01358902794405048,0.013022818446381711,0.015136361518512645,0.004541940054843444,0.004541940054843444,,True,111,120,120,5.561331042001257,True,99,105,105,4.854732875013724,-9,0,-13,-1,-1,
h4-1.5-iteration-12-or-convergence,candidate-v1:d23aa90310d38b46684404e6b5d8c53f0297d5b46b7441cdd2908c7ed224d799,block-deletion,empty,True,4.440892098500626e-16,0.043310544482975596,0.03984570092433755,0.027490106723801293,0.008250402816749061,0.008250402816749061,,True,46,48,48,2.2286145409743767,True,45,52,52,2.465877582988469,-9,0,-13,-1,-1,
h4-1.5-iteration-12-or-convergence,candidate-v1:af69fa8e99373f7d76ca6b2b4d45d396b109756ad087ed6cc28520d4c25a18a2,block-deletion,empty,True,-1.1102230246251565e-15,0.04328135904382793,0.0382873560772324,0.027586069018932194,0.0082222031323596,0.0082222031323596,,True,44,48,48,2.287462084001163,True,45,52,52,2.467975166015094,-9,0,-13,-1,-1,
h4-1.5-iteration-12-or-convergence,candidate-v1:58857b6297c6ea4052c33f3596c196575f4c48f59bd1f611b3571bddf9101ce8,block-deletion,empty,True,8.881784197001252e-16,0.014136044392339392,0.012041815593474298,0.010936839936422048,0.0072955009039240674,0.0072955009039240674,,True,27,31,31,1.5050184580031782,True,27,30,30,1.4691740830021445,-9,0,-13,-1,-1,
h4-1.5-iteration-12-or-convergence,candidate-v1:9fa58e963f34702253766deeed02aff01661fe0a3ee3b3634013d447c45214c2,block-deletion,empty,True,-2.220446049250313e-16,0.009595013038765986,0.00788161785327206,0.009023655197404987,0.00499337238328874,0.00499337238328874,,True,26,28,28,1.3231737920141313,True,30,32,32,1.5503499170008581,-9,0,-13,-1,-1,
h4-1.5-iteration-12-or-convergence,candidate-v1:7f2a090c514c1939fe586e0a34c2257a20232ea354b9081ba42427e996117ab2,mvp-whole-deletion,empty,True,-4.440892098500626e-16,0.1468686128954379,0.11450773208796854,0.07679232276040857,,0.014877484411025849,,True,104,110,110,4.878295625007013,True,67,70,70,3.0972256250097416,-13,0,-24,-2,-1,
h4-1.5-iteration-12-or-convergence,candidate-v1:70b156419fc7f6bc31d927dea9d953a9705ccede9d044e5ae537e6ce5f8fd0e8,mvp-constituent-deletion,single-QE,True,-6.661338147750939e-16,0.01827759396936703,0.014496022803291092,0.01368629044305983,0.005377581794802033,0.005377581794802033,,True,59,62,62,2.8617344579834025,True,67,70,70,3.316900584002724,0,0,-3,-1,0,
h4-1.5-iteration-12-or-convergence,candidate-v1:fff7155780d50642af0896f96640a99e5391604a16074490c8b32a7756155c52,mvp-constituent-deletion,single-QE,True,-6.661338147750939e-16,0.12859101892607086,0.09858644784332099,0.06310603231734867,0.005225751686447528,0.005225751686447528,,True,34,37,37,1.7804517500044312,True,29,30,30,1.4837943749735132,0,0,-3,-1,0,
h4-1.5-iteration-12-or-convergence,candidate-v1:7f20067caa031a05345976e1024b170c50ce565c1e60805b9168e4ed0e17b548,mvp-to-ovp-sum,OVP,True,-4.440892098500626e-16,0.24382910860452378,0.19010405077640838,0.07228496163798417,,0.010717272789290157,,True,49,53,53,2.4503133749822155,True,36,37,37,1.7819602499948815,-4,0,-11,-1,0,
h4-1.5-iteration-12-or-convergence,candidate-v1:920d2dd8c375f70c51cf28bcbcf2209142fdbc274f81e80194748d8bfd971d69,mvp-to-ovp-diff,OVP,True,0.0,0.04990811718635204,0.038911413399528715,0.014795634192956311,,0.0015004985799750815,,True,24,27,27,1.3273783749900758,True,28,30,30,1.5008561669965275,-4,0,-11,-1,0,
h4-1.5-iteration-12-or-convergence,candidate-v1:4d1a87a7bdec5c9a5995c45f8f39773b86e20eb88aa20f93f98cf50dd4e8711d,mvp-whole-deletion,empty,True,0.0,0.062487684998223846,0.04562592872886186,0.031070848019748288,,0.009821838192936371,,True,52,54,54,2.4768492080038413,True,53,54,54,2.4769659580197185,-13,0,-24,-2,-1,
h4-1.5-iteration-12-or-convergence,candidate-v1:86cf795e09e9c5e0e0708ca83cd8bf0a13333452f778bd5e093c9392f11b32d6,mvp-constituent-deletion,single-QE,True,-2.220446049250313e-16,0.025661300025329865,0.01903902905105119,0.01321683518729814,0.0054494299075378535,0.0054494299075378535,,True,71,78,78,3.6250682920217514,True,88,95,95,4.428309709008317,0,0,-3,-1,0,
h4-1.5-iteration-12-or-convergence,candidate-v1:c53878b41fe0334d430d88bdbc45ebb5f1bc3eab1143b38578e92d2f984fc9d4,mvp-constituent-deletion,single-QE,True,0.0,0.036826384972893984,0.02646896419926755,0.01785401283245008,0.0014434312581432815,0.0014434312581432815,,True,25,28,28,1.3558674170053564,True,19,20,20,1.0137981669977307,0,0,-3,-1,0,
h4-1.5-iteration-12-or-convergence,candidate-v1:436b6f9a209a6dd9b2c0bdc6e7df9af0c89e1f77f2438b6fff669524035beea2,mvp-to-ovp-sum,OVP,True,2.220446049250313e-16,0.12396980967321314,0.09051763880901277,0.030959938827430835,,0.005396373775949015,,True,32,35,35,1.6551732500083745,True,29,30,30,1.4730467909830622,-4,0,-11,-1,0,
